Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Titles
Senator the Hon,Senator,McCarthy,Malarndirri,,,M.,,NT,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Indigenous Australians
Senator,Senator,McDonald,Susan,Eileen,Susan,S.E.,,QLD,LNP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Leader of the Nationals in the Senate
Senator the Hon,Senator,McGrath,James,Anthony,James,J.A.,,QLD,LNP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Manager of Opposition Business in the Senate
Senator the Hon,Senator,McKenzie,Bridget,Grace,Bridget,B.G.,,VIC,NATS,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of the Nationals in the Senate
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,,TAS,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,Australian Greens Whip
Senator,Senator,McLachlan,Andrew,Lockhart,Andrew,A.L.,CSC,SA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Mulholland,Corinne,,Corinne,C.,,QLD,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Nampijinpa Price,Jacinta,Suzette,Jacinta,J.S.,,NT,CLP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,O'Neill,Deborah,Mary,Deborah,D.M.,,NSW,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,M.A.,,WA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Paterson,James,William,James,J.,,VIC,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Payman,Fatima,,Fatima,F.,,WA,AV,Female,"The Senate, Parliament House",Canberra,ACT,2600,Australia's Voice Whip
Senator,Senator,Pocock,Barbara,,Barbara,B.,,SA,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Pocock,David,Willmer,David,D.W.,,ACT,IND,Male,"The Senate, Parliament House",Canberra,ACT,2600,Independent ACT Whip
Senator,Senator,Polley,Helen,,Helen,H.,,TAS,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,,QLD,PHON,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,,SA,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Leader of the Opposition in the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,,QLD,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sharma,Devanand,Noel,Dave,D.N.,,NSW,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,,NSW,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Chief Government Whip in the Senate
Senator,Senator,Shoebridge,David,Martin,David,D.M.,,NSW,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,,WA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,,WA,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sterle,Glenn,,Glenn,G.,,WA,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Stewart,Jana,Naretha Anne,Jana,J.N.A.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Thorpe,Lidia,Alma,Lidia,L.A.,,VIC,IND,Female,"The Senate, Parliament House",Canberra,ACT,2600,Independent VIC Whip
Senator,Senator,Tyrrell,Tammy,Marie,Tammy,T.M.,,TAS,IND,Female,"The Senate, Parliament House",Canberra,ACT,2600,Independent TAS Whip
Senator,Senator,Walker,Charlotte,,Charlotte,C.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Walsh,Jess,Cecille,Jess,J.C.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Early Childhood Education; Minister for Youth
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,,QLD,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of the Australian Greens
Senator the Hon,Senator,Watt,Murray,Patrick,Murray,M.P.,,QLD,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Minister for the Environment and Water
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P.S.,,TAS,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Whiteaker,Ellie,,Ellie,E.,,WA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Whitten,Tyron,,Tyron,T.,,WA,PHON,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Foreign Affairs (Leader of the Government in the Senate)
