name,party,electorate,portrait_url,email,phone,website,twitter,attendance_overall,attendance_12m
"Rob Mitchell","ALP","McEwen","","","","","","",""
"Daniel Mulino","ALP","Fraser","","","","","","",""
"Gabriel Ng","ALP","Menzies","","","","","","",""
"Clare O'Neil","ALP","Hotham","","","","","","",""
"Sam Rae","ALP","Hawke","","","","","","",""
"Joanne Ryan","ALP","Lalor","","","","","","",""
"Monique Ryan","IND","Kooyong","","","","","","",""
"Dan Tehan","LP","Wannon","","","","","","",""
"Kate Thwaites","ALP","Jagajaga","","","","","","",""
"Aaron Violi","LP","Casey","","","","","","",""
"Tim Watts","ALP","Gellibrand","","","","","","",""
"Anne Webster","NATS","Mallee","","","","","","",""
"Tim Wilson","LP","Goldstein","","","","","","",""
"Sarah Witty","ALP","Melbourne","","","","","","",""
"Jason Wood","LP","La Trobe","","","","","","",""
"Anne Aly","ALP","Cowan","","","","","","",""
"Kate Chaney","IND","Curtin","","","","","","",""
"Trish Cook","ALP","Bullwinkel","","","","","","",""
"Tom French","ALP","Moore","","","","","","",""
"Patrick Gorman","ALP","Perth","","","","","","",""
"Andrew Hastie","LP","Canning","","","","","","",""
"Matt Keogh","ALP","Burt","","","","","","",""
"Madeleine King","ALP","Brand","","","","","","",""
"Tania Lawrence","ALP","Hasluck","","","","","","",""
"Sam Lim","ALP","Tangney","","","","","","",""
"Zaneta Mascarenhas","ALP","Swan","","","","","","",""
"Melissa Price","LP","Durack","","","","","","",""
"Tracey Roberts","ALP","Pearce","","","","","","",""
"Ben Small","LP","Forrest","","","","","","",""
"Josh Wilson","ALP","Fremantle","","","","","","",""
"Rick Wilson","LP","O'Connor","","","","","","",""
